idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
73,0x1e987756305C6506A8687E6CEB85872c48ceaa3B,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x18AC1c8864769565e56561bFD5be3CC803450a31,2923,85,2.90
73,0x1e987756305C6506A8687E6CEB85872c48ceaa3B,PNT,0xB6bcae6468760bc0CDFb9C8ef4Ee75C9dd23e1Ed,0x7039273a443043EE8EFC59dD96ce66E0047De3E0,1146,16,1.42
74,0xE1ad5D74f3fEdE7Ec63Fec63D4bAFe9afbF09eDB,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0x9E1d98E5aC1155801Ce86A4A946CD3a098f36334,83355,21882,26.25
74,0xE1ad5D74f3fEdE7Ec63Fec63D4bAFe9afbF09eDB,pBTC,0xd7ecf95Cf7eF5256990BeAf4ac895cD9e64cb947,0x40574e6C3ee57bb589b4C0aD3636262f4D3d449B,29603,11860,40.06
75,0x44559353f8edB965294c1448333369ca84dF6298,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc56D78Bd63D497F690f7Ad66946fDD873798ef75,3169,163,5.13
75,0x44559353f8edB965294c1448333369ca84dF6298,IDLE,0xC25351811983818c9Fe6D8c580531819c8ADe90f,0xCf33eF2b32fE45F1a4CB5121Ec1550F6D9366Bed,4385,116,2.65
76,0xc753C8E920a6c35315da5D15e8cfcD5B014Fd280,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x0Eb2934ddE87033FD33Da4Ea54821BB88AD05312,12746,7876,61.79
76,0xc753C8E920a6c35315da5D15e8cfcD5B014Fd280,WCRO,0xf2D8124b8F9267DaD61351c7aD252362880C6638,0x5f046b188b2Aa168286b3e91A169B78567f4dDd1,13734,8884,64.69
77,0xb343CC2378dcFf9A6F81b4eEe3d8ECdC88560f6A,DATA,0x1D607Faa0A51518a7728580C238d912747e71F7a,0xF0A546164a3D070BF0e6775709dAB43605A98A9F,14917,10454,70.08
77,0xb343CC2378dcFf9A6F81b4eEe3d8ECdC88560f6A,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x360b3e8791d09616E8948ee2d4Ca3aE942D83842,16410,12761,77.76
78,0x3DF6b9fdDB088d0B367aCF32F2975B6613De87a9,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xB3e6Fae61fa928D29310c0c5Ea2849BB6BEc08d7,208834,125638,60.16
78,0x3DF6b9fdDB088d0B367aCF32F2975B6613De87a9,gOHM,0xd8cA34fd379d9ca3C6Ee3b3905678320F5b45195,0x6E64428744cC96Add02524550CB16dF6878D1224,159538,116747,73.18
