idx, lp_name, lp_address, token0, token0_name, token1, token1_name, pool, rewardAmount, vault, weekRewardUsd, tvlUsd, apr, currentRewards
23,QUICK_QUICK_OM,0xdFA81e266fF54A7d9d26c5083f9631e685d833D7,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xC3Ec80343D2bae2F8E680FDADDe7C17E71E114ea,OM,0x7Cb08B1dd9A9fA5da22ef99E7Fb00a856DA6A2c7,2712.03,undefined,2712.03,291279.06,48.55,undefined
24,QUICK_USDC_ADS,0x85ba262be13329A2Db5acf9Aa46aC2345b5DF4ff,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x598e49f01bEfeB1753737934a5b11fea9119C796,ADS,0x4a01270909A3a11810B8d73dF11083106f7833Ce,0.00,undefined,0.00,7649.02,NaN,undefined
25,QUICK_QUICK_EROWAN,0x631F39D22430E889A3CFbEA4FD73Ed101059075f,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xa7051C5a22d963b81D71C2BA64D46a877fBc1821,EROWAN,0xf113B8dec8368b7FeC4802fF7126cA317131F7cF,10806.57,undefined,10806.57,238558.65,236.20,undefined
26,QUICK_EROWAN_ATOM,0x7051810A53030171F01d89e9AeBd8A599DE1B530,0xa7051C5a22d963b81D71C2BA64D46a877fBc1821,EROWAN,0xac51C4c48Dc3116487eD4BC16542e27B5694Da1b,ATOM,0x70C674bCe0aEc05E0d13bFEdd692b2F231323899,10806.57,undefined,10806.57,271242.76,207.74,undefined
27,QUICK_WETH_MCASH,0x1FEF1CE437BB025C08609E0C14ab916622bd09f4,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xa25610a77077390A75aD9072A084c5FbC7d43A0d,MCASH,0xd24FdB548704D8C6AA1e15B238E4cBe10d214119,8115.31,undefined,8115.31,159743.31,264.90,undefined
28,QUICK_ADS_QUICK,0x5a25c9E27097Ebac600ed1DF3f31441272af9D38,0x598e49f01bEfeB1753737934a5b11fea9119C796,ADS,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x132A9714939d0194eAC5B97725BFE0d7D6fFb8bb,0.00,undefined,0.00,153.95,NaN,undefined
29,QUICK_ELET_QUICK,0x592D8FAeA9e740FAcBd6115AbD92D2e6ACB2f8f1,0x07738Eb4ce8932CA961c815Cb12C9d4ab5Bd0Da4,ELET,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x7b4125d303eE59e8Ef5aB66ca06314904E45DA7E,5403.28,undefined,5403.28,88608.96,317.96,undefined
30,QUICK_ANGEL_QUICK,0x5701026955D90e9D9EA79EBa2CC70596a6A7acCD,0x0B6afe834dab840335F87d99b45C2a4bd81A93c7,ANGEL,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x7381EC7FB10d4242447A4056a84EF75b007D1a00,0.00,undefined,0.00,9460.48,NaN,undefined
31,QUICK_USDC_REVV,0xe4139DBF19e9C8d880f915711c8674022979d432,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x70c006878a5A50Ed185ac4C87d837633923De296,REVV,0x97E4bcF95DfA4C0EDAcFd12287317BfaF5B4866A,4052.46,undefined,4052.46,791435.33,26.70,undefined
32,QUICK_USDC_DNXC,0xE169a660d720917B4fB7e95f045B6f60a64EB10A,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xcaF5191fc480F43e4DF80106c7695ECA56E48B18,DNXC,0xEce832aBe253681FC0C4fE116ca3De8d18D811e2,0.00,undefined,0.00,2528.82,NaN,undefined
33,QUICK_REVV_QUICK,0xC52f4e49C7Fb3ffCeB48Ad06C3F3a17aD5c0dbfE,0x70c006878a5A50Ed185ac4C87d837633923De296,REVV,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xB84319392d51FEEBfA40EdA326C14Bf56c31D030,2701.64,undefined,2701.64,303565.95,46.41,undefined
34,QUICK_QUICK_DNXC,0xB61Fbe5aAc9E91c16f477c8505CF21FB919048F6,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xcaF5191fc480F43e4DF80106c7695ECA56E48B18,DNXC,0xc003fC1a62f7eEa5b07FeFf89BA45A925AC46f1d,0.00,undefined,0.00,3779.99,NaN,undefined
35,QUICK_QUICK_RELAY,0x7CA8e540DF6326005B72661E50F1350C84C0E55D,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x904371845Bc56dCbBcf0225ef84a669b2fD6bd0d,RELAY,0x8eF44aF84D79717577C54DD7eC60a60945404680,2712.03,undefined,2712.03,526406.20,26.86,undefined
36,QUICK_polyBUNNY_WETH,0x62052b489Cb5bC72a9DC8EEAE4B24FD50639921a,0x4C16f69302CcB511c5Fac682c7626B9eF0Dc126a,polyBUNNY,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x7475b9eDfc13cdc994AeF39F67F5b4211515C873,2701.64,0x4214902e5a282ad323ed0e433e36806529f27620,2701.64,1699966.63,8.29,undefined
37,QUICK_QUICK_UGT,0x29429e4099ED88884729b8FA800b9C65DbE57B63,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xBa4c54Ea2d66b904C82847A7d2357d22B857E812,UGT,0x20b07BF5d7c84171c84Daf1ec327306830561AD9,2701.64,undefined,2701.64,99390.88,141.73,undefined
38,QUICK_WETH_UGT,0x15551BEdc20B01b473DA93e6cFa29b1eb7bAeAbb,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xBa4c54Ea2d66b904C82847A7d2357d22B857E812,UGT,0x4Cef5a7B5736e65ad9dd6Ab52eD79eF1BbeBec84,2712.03,undefined,2712.03,249394.24,56.70,undefined
39,QUICK_USDC_zUSD,0xCa8e44Fdf749A7C5C28BC927726Ea21Ccd669969,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x5668F6d40E15188045a1dE6295054103C13ffAc1,zUSD,0xE3Cd2c9971C12F817Aac1350654CBae53BE72433,2712.03,undefined,2712.03,76044.75,185.96,undefined
40,QUICK_START_QUICK,0x9E2B254c7D6AD24aFb334A75cE21e216A9AA25fc,0x6Ccf12B480A99C54b23647c995f4525D544A7E72,START,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xB1B2e2b4cBED8e7b6FF7Cca016760ccA9260f0Ec,8104.93,0x29be0c0d226da0002f3cff5cea36b091884ee50d,8104.93,789339.81,53.54,undefined
41,QUICK_WMATIC_USDT,0x604229c960e5CACF2aaEAc8Be68Ac07BA9dF81c3,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,0xE1F991f93997085472469B2fA72Fd5454469Fa94,0.00,undefined,0.00,2.41,NaN,undefined
42,QUICK_QUICK_OOE,0x23E93cE78d7fB5287e4B6A8D91403bc5e7aC845A,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x9d5565dA88e596730522CbC5a918d2A89dbC16d9,OOE,0x7fF1ed1960108Ff896be37199796Cc474B2C070D,0.00,undefined,0.00,15330.48,NaN,undefined
43,QUICK_QUICK_REI,0x1C75Bd54aD15449d12E6C24a9b5E8Ce1a62C567c,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xB9f9e37c2CdbaFF928C3Da730b02F06fE09aE70E,REI,0x5189B2e1A3896c053D094633B77Adc6AeBCF7C03,2706.83,undefined,2706.83,51724.02,272.88,undefined
44,QUICK_QUICK_PolyDoge,0xbedEE6a7c572aa855a0c84d2f504311d482862F4,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x8A953CfE442c5E8855cc6c61b1293FA648BAE472,PolyDoge,0x403A2604226585Cb1e07D644780930D650EA4b73,16168.32,0x1b8a847b8e46f803ad6750a26c06b8bc1f0032ea,16168.32,1139811.11,73.97,undefined
45,QUICK_SWAP_QUICK,0xfcb980CFd282027b7a0544802A03b8aF63eE9Cc4,0x3809dcDd5dDe24B37AbE64A5a339784c3323c44F,SWAP,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x3486D306c3Fe9e1cC7809e2C171766CA942c144A,0.00,undefined,0.00,58689.97,NaN,undefined
46,QUICK_WMATIC_miMATIC,0x7805B64e2d99412d3b8F10Dfe8fc55217C5cc954,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,miMATIC,0x5F709F81cdA3E84fC2af3662B8B8C3F4f44e3d4E,2712.03,undefined,2712.03,731346.43,19.34,undefined
47,QUICK_XED_QUICK,0x222789B185A145CcBd19803A448143252612d012,0x2fe8733dcb25BFbbA79292294347415417510067,XED,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x3fC5c25f946894e14AA2e9cE755Be55d98B7d515,1361.20,undefined,1361.20,197250.09,35.98,undefined
48,QUICK_USDC_DAI,0xf04adBF75cDFc5eD26eeA4bbbb991DB002036Bdd,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,0xACb9EB5B52F495F09bA98aC96D8e61257F3daE14,5403.28,0xece3b21ca174905eef087bbc7aca59a95c45a57b,5403.28,6530428.77,4.31,8872.928074973195
49,QUICK_WMATIC_AVAX,0xEb477AE74774b697B5D515eF8ca09e24FEe413b5,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,AVAX,0x0cAB010bA055a9F3B3f987BA39eE0ad3E2d1a830,5403.28,0xb5be31f0ef98246e1f7e0168d6f0fff563ffb71b,5403.28,2757931.70,10.22,undefined
